"cityId","cityName","zoneId","zoneName","areaDownloadUrl"
"1","Dhaka","307","Mugda","https://minsahbeauty.cloud/api/shipping/pathao/locations/export?type=areas&city_id=1&zone_id=307"
"1","Dhaka","308","Goran","https://minsahbeauty.cloud/api/shipping/pathao/locations/export?type=areas&city_id=1&zone_id=308"
"1","Dhaka","311","Eskaton","https://minsahbeauty.cloud/api/shipping/pathao/locations/export?type=areas&city_id=1&zone_id=311"
"1","Dhaka","312","Baily Road","https://minsahbeauty.cloud/api/shipping/pathao/locations/export?type=areas&city_id=1&zone_id=312"
"1","Dhaka","315","Modhubag","https://minsahbeauty.cloud/api/shipping/pathao/locations/export?type=areas&city_id=1&zone_id=315"
"1","Dhaka","316","Nurerchala","https://minsahbeauty.cloud/api/shipping/pathao/locations/export?type=areas&city_id=1&zone_id=316"
"1","Dhaka","317","Arambag","https://minsahbeauty.cloud/api/shipping/pathao/locations/export?type=areas&city_id=1&zone_id=317"
"1","Dhaka","318","Shajahanpur","https://minsahbeauty.cloud/api/shipping/pathao/locations/export?type=areas&city_id=1&zone_id=318"
"1","Dhaka","324","ranavola","https://minsahbeauty.cloud/api/shipping/pathao/locations/export?type=areas&city_id=1&zone_id=324"
"1","Dhaka","327","Turag","https://minsahbeauty.cloud/api/shipping/pathao/locations/export?type=areas&city_id=1&zone_id=327"
"1","Dhaka","337","Manikdi","https://minsahbeauty.cloud/api/shipping/pathao/locations/export?type=areas&city_id=1&zone_id=337"
"1","Dhaka","342","Dhaka cantonment","https://minsahbeauty.cloud/api/shipping/pathao/locations/export?type=areas&city_id=1&zone_id=342"
"1","Dhaka","351","BUET","https://minsahbeauty.cloud/api/shipping/pathao/locations/export?type=areas&city_id=1&zone_id=351"
"1","Dhaka","355","Banglamotor","https://minsahbeauty.cloud/api/shipping/pathao/locations/export?type=areas&city_id=1&zone_id=355"
"1","Dhaka","475","Mirpur 7","https://minsahbeauty.cloud/api/shipping/pathao/locations/export?type=areas&city_id=1&zone_id=475"
"1","Dhaka","627","Nawabganj (Dhaka)","https://minsahbeauty.cloud/api/shipping/pathao/locations/export?type=areas&city_id=1&zone_id=627"
"1","Dhaka","630","ChawkBazar (Dhaka)","https://minsahbeauty.cloud/api/shipping/pathao/locations/export?type=areas&city_id=1&zone_id=630"
"1","Dhaka","655","Kamranggirchar","https://minsahbeauty.cloud/api/shipping/pathao/locations/export?type=areas&city_id=1&zone_id=655"
"1","Dhaka","661","Sutrapur","https://minsahbeauty.cloud/api/shipping/pathao/locations/export?type=areas&city_id=1&zone_id=661"
"1","Dhaka","717","Mirpur 13","https://minsahbeauty.cloud/api/shipping/pathao/locations/export?type=areas&city_id=1&zone_id=717"
"1","Dhaka","750","Panthapath","https://minsahbeauty.cloud/api/shipping/pathao/locations/export?type=areas&city_id=1&zone_id=750"
"1","Dhaka","935","Uttara Sector 3","https://minsahbeauty.cloud/api/shipping/pathao/locations/export?type=areas&city_id=1&zone_id=935"
"1","Dhaka","936","Uttara Sector 4","https://minsahbeauty.cloud/api/shipping/pathao/locations/export?type=areas&city_id=1&zone_id=936"
"1","Dhaka","937","Uttara Sector 5","https://minsahbeauty.cloud/api/shipping/pathao/locations/export?type=areas&city_id=1&zone_id=937"
"1","Dhaka","938","Uttara sector 6","https://minsahbeauty.cloud/api/shipping/pathao/locations/export?type=areas&city_id=1&zone_id=938"
"1","Dhaka","939","Uttara Sector 7","https://minsahbeauty.cloud/api/shipping/pathao/locations/export?type=areas&city_id=1&zone_id=939"
"1","Dhaka","940","Uttara Sector 9","https://minsahbeauty.cloud/api/shipping/pathao/locations/export?type=areas&city_id=1&zone_id=940"
"1","Dhaka","941","Uttara Sector 10","https://minsahbeauty.cloud/api/shipping/pathao/locations/export?type=areas&city_id=1&zone_id=941"
"1","Dhaka","942","Uttara Sector 11","https://minsahbeauty.cloud/api/shipping/pathao/locations/export?type=areas&city_id=1&zone_id=942"
"1","Dhaka","943","Uttara Sector 12","https://minsahbeauty.cloud/api/shipping/pathao/locations/export?type=areas&city_id=1&zone_id=943"
